,Unnamed: 0,sentiment,tweets
0,0,0,aw thats a bummer you shoulda got david carr of third day to do it d
1,1,0,is upset that he cant update his facebook by texting it and might cry as a result school today also blah
2,2,0,i dived many times for the ball managed to save  the rest go out of bounds
3,3,0,my whole body feels itchy and like its on fire
4,4,0,no its not behaving at all im mad why am i here because i cant see you all over there
5,5,0,not the whole crew
6,6,0,need a hug
7,7,0,hey long time no see yes rains a bit only a bit lol im fine thanks hows you
8,8,0,nope they didnt have it
9,9,0,que me muera
10,10,0,spring break in plain city its snowing
11,11,0,i just repierced my ears
12,12,0,i couldnt bear to watch it and i thought the ua loss was embarrassing
13,13,0,it it counts idk why i did either you never talk to me anymore
14,14,0,i wouldve been the first but i didnt have a gun not really though zac snyders just a doucheclown
15,15,0,i wish i got to watch it with you i miss you and how was the premiere
16,16,0,hollis death scene will hurt me severely to watch on film wry is directors cut not out now
17,17,0,about to file taxes
18,18,0,ahh ive always wanted to see rent love the soundtrack
19,19,0,oh dear were you drinking out of the forgotten table drinks
20,20,0,i was out most of the day so didnt get much done
21,21,0,one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh
22,22,0,i baked you a cake but i ated it
23,23,0,this week is not going as i had hoped
24,24,0,blagh class at  tomorrow
25,25,0,i hate when i have to call and wake people up
26,26,0,just going to cry myself to sleep after watching marley and me
27,27,0,im sad now misslilly
28,28,0,oh lol that leslie and ok i wont do it again so leslie wont get mad again
29,29,0,meh almost lover is the exception this track gets me depressed every time
30,30,0,some hacked my account on aim now i have to make a new one
31,31,0,i want to go to promote gear and groove but unfornately no ride there i may b going to the one in anaheim in may though
32,32,0,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon
33,33,0,awe i love you too  am here i miss you
34,34,0,i cry my asian eyes to sleep at night
35,35,0,ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now
36,36,0,ill tell ya the story later not a good day and ill be workin for like three more hours
37,37,0,sorry bed time came here gmt
38,38,0,i dont either its depressing i dont think i even want to know about the kids in suitcases
39,39,0,bed class  work  gym  or  then class  another day thats gonna fly by i miss my girlfriend
40,40,0,really dont feel like getting up today but got to study to for tomorrows practical exam
41,41,0,hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart
42,42,0,sad sad sad i dont know why but i hate this feeling i wanna sleep and i still cant
43,43,0,aw i soo wish i was there to see you finally comfortable im sad that i missed it
44,44,0,falling asleep just heard about that tracy girls body being found how sad my heart breaks for that family
45,45,0,yay im happy for you with your job but that also means less time for me and you
46,46,0,just checked my user timeline on my blackberry it looks like the twanking is still happening are ppl still having probs w bgs and uids
47,47,0,oh manwas ironing fave top to wear to a meeting burnt it
48,48,0,is strangely sad about lilo and samro breaking up
49,49,0,oh im so sorry i didnt think about that before retweeting
50,50,0,broadband plan a massive broken promise via still waiting for broadband we are
51,51,0,wow tons of replies from you may have to unfollow so i can see my friends tweets youre scrolling the feed a lot
52,52,0,our duck and chicken are taking way too long to hatch
53,53,0,put vacation photos online a few yrs ago pc crashed and now i forget the name of the site
54,54,0,i need a hug
55,55,0,not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy
56,56,0,i hate when that happens
57,57,0,i have a sad feeling that dallas is not going to show up i gotta say though youd think more shows would use music from the game m
58,58,0,ugh degrees tomorrow
59,59,0,where did u move to i thought u were already in sd hm random u found me glad to hear yer doing well
60,60,0,i miss my ps its out of commission wutcha playing have you copped blood on the sand
61,61,0,just leaving the parking lot of work
62,62,0,the life is cool but not for me
63,63,0,sadly though ive never gotten to experience the post coitus cigarette before and now i never will
64,64,0,i had such a nice day too bad the rain comes in tomorrow at am
65,65,0,too bad i wont be around i lost my job and cant even pay my phone bill lmao aw shucks
66,66,0,damm back to school tomorrow
67,67,0,mo jobs no money how in the hell is min wage here  fn clams an hour
68,68,0,not forever see you soon
69,69,0,agreed i saw the failwhale al day today
70,70,0,oh haha dude i dont really look at em unless someone says hey i added you sorry im so terrible at that i need a pop up
71,71,0,im sure youre right i need to start working out with you and the nikster or jared at least
